property_type,sector,price,areaWithType,bedRoom,bathroom,balcony,agePossession,super_built_up_area,built_up_area,carpet_area,study room,servant room,furnishing_type,luxury_category,floorNum_cat
0.0,6.0,2.45,2044.0,4,4,3.0,3.0,2875.0,1650.0,1294.0,1,1,0,1.0,0.0
1.0,87.0,4.7,826.0,3,3,4.0,1.0,1827.75,2160.0,1294.0,0,1,0,1.0,1.0
1.0,31.0,0.7,1001.0,2,2,0.0,2.0,1827.75,864.0,1294.0,0,0,0,1.0,1.0
0.0,95.0,1.3,1260.0,3,3,2.0,1.0,1500.0,1650.0,900.0,0,0,0,1.0,1.0
1.0,12.0,6.5,948.0,4,4,4.0,1.0,1827.75,5400.0,1294.0,0,1,1,0.0,1.0
0.0,38.0,0.55,2202.0,2,2,3.0,1.0,600.0,1650.0,1294.0,0,0,0,2.0,1.0
0.0,103.0,0.9,1039.0,3,2,2.0,4.0,1120.0,1650.0,1294.0,0,0,0,2.0,1.0
0.0,10.0,1.15,1278.0,2,2,3.0,3.0,1534.0,1650.0,1056.0,1,0,0,1.0,1.0
0.0,68.0,3.5,1812.0,3,4,3.0,3.0,2200.0,2150.0,2125.0,0,1,0,2.0,2.0
0.0,97.0,1.78,1817.0,4,4,4.0,3.0,2215.0,2000.0,1650.0,0,0,0,2.0,2.0
0.0,44.0,2.5,1542.0,3,2,3.0,2.0,1850.0,1650.0,1294.0,1,0,0,1.0,2.0
1.0,39.0,3.9,809.0,6,6,4.0,0.0,1827.75,1836.0,1294.0,1,1,0,1.0,1.0
1.0,32.0,0.55,998.0,2,2,1.0,0.0,1827.75,810.0,715.0,0,0,0,1.0,1.0
0.0,38.0,1.67,1803.0,4,4,3.0,3.0,2191.0,2091.0,1991.0,0,0,1,2.0,0.0
0.0,97.0,0.65,1139.0,2,2,3.0,3.0,1350.0,1050.0,950.0,1,0,0,2.0,2.0
0.0,67.0,5.5,2096.0,3,4,3.0,3.0,3243.0,2803.0,2388.0,0,1,0,1.0,1.0
0.0,97.0,2.05,1815.0,4,4,4.0,3.0,2215.0,1650.0,1294.0,0,0,1,1.0,2.0
1.0,52.0,2.25,726.0,6,3,4.0,3.0,1827.75,900.0,1294.0,0,0,0,2.0,1.0
1.0,35.0,11.0,931.0,5,6,3.0,1.0,1827.75,500.0,1294.0,1,1,0,2.0,1.0
0.0,5.0,1.41,1167.0,2,2,3.0,3.0,1368.0,1650.0,1294.0,0,0,0,1.0,1.0
0.0,83.0,1.65,130.0,3,3,0.0,3.0,1827.75,1815.0,1294.0,0,0,0,1.0,0.0
0.0,89.0,0.98,1221.0,2,2,3.0,3.0,1445.0,1300.0,1200.0,0,0,1,2.0,2.0
0.0,20.0,2.2,461.0,3,4,4.0,3.0,1827.75,1650.0,1760.0,0,0,0,1.0,1.0
0.0,92.0,1.5,1595.0,3,3,1.0,3.0,1929.0,1550.0,1330.0,0,0,0,0.0,0.0
1.0,6.0,4.35,890.0,4,4,4.0,3.0,1827.75,3222.0,1294.0,1,1,1,2.0,1.0
0.0,72.0,1.3,1294.0,3,3,1.0,3.0,1568.0,1650.0,1294.0,0,0,0,2.0,0.0
0.0,76.0,1.1,1504.0,3,4,3.0,0.0,1802.0,1650.0,1294.0,0,1,0,1.0,1.0
0.0,88.0,1.59,1498.0,3,3,4.0,3.0,1799.0,1650.0,1538.0,0,0,2,0.0,2.0
0.0,94.0,1.65,1529.0,3,3,3.0,1.0,1825.0,1650.0,1294.0,0,0,0,2.0,0.0
0.0,86.0,2.28,1754.0,3,3,4.0,3.0,2103.0,1750.0,1257.0,0,1,2,1.0,0.0
0.0,97.0,1.6,1883.0,4,4,4.0,3.0,2364.0,1650.0,1294.0,0,1,0,2.0,2.0
0.0,97.0,1.21,1443.0,3,3,4.0,3.0,1747.0,1650.0,1294.0,0,0,0,2.0,0.0
0.0,97.0,1.25,1392.0,3,3,3.0,0.0,1702.0,1650.0,1200.0,0,1,0,2.0,0.0
0.0,23.0,0.98,1203.0,2,2,3.0,0.0,1415.0,1650.0,1294.0,0,0,0,2.0,0.0
0.0,11.0,0.93,1099.0,2,3,3.0,3.0,1283.0,1650.0,1294.0,0,0,0,2.0,2.0
0.0,63.0,2.24,1283.0,3,3,2.0,1.0,1549.0,1650.0,1294.0,0,0,0,2.0,1.0
0.0,57.0,1.55,1676.0,3,3,3.0,2.0,2000.0,1650.0,1294.0,0,1,1,2.0,2.0
0.0,83.0,0.78,1103.0,2,2,4.0,3.0,1295.0,1650.0,1294.0,0,0,0,1.0,0.0
0.0,17.0,1.93,1309.0,3,3,2.0,4.0,1579.0,1650.0,1294.0,0,0,0,2.0,2.0
0.0,7.0,2.6,2083.0,4,4,4.0,3.0,3150.0,1650.0,2950.0,0,1,1,2.0,0.0
1.0,16.0,7.46,285.0,4,4,4.0,3.0,1827.75,6350.0,1294.0,0,1,1,2.0,1.0
