,property_type,sector,price,bedRoom,bathroom,balcony,agePossession,super_built_up_area,built_up_area,carpet_area,study room,servant room,furnishing_type,luxury_cat,floorNum_cat
144,house,sector 51,2.25,6,3,3+,Relatively New,,900.0,,0,0,unfurnished,medium,low
145,house,sector 33,11.0,5,6,3,New Property,,500.0,,1,1,unfurnished,medium,low
146,flat,sector 102,1.41,2,2,3,Relatively New,1368.0,,,0,0,unfurnished,low,low
147,flat,sector 79,1.65,3,3,0,,,1815.0,,0,0,unfurnished,low,high
148,flat,sector 83,0.98,2,2,3,Relatively New,1445.0,1300.0,1200.0,0,0,semi_furnished,medium,medium
149,flat,sector 14,2.2,3,4,3+,,,,1760.0,0,0,unfurnished,low,low
150,flat,sector 86,1.5,3,3,1,Relatively New,1929.0,1550.0,1330.0,0,0,unfurnished,high,high
151,house,sector 103,4.35,4,4,3+,Relatively New,,3222.0,,1,1,semi_furnished,medium,low
152,flat,sector 69,1.3,3,3,1,Relatively New,1568.0,,,0,0,unfurnished,medium,high
153,flat,sector 71,1.1,3,4,3,Moderately Old,1802.0,,,0,1,unfurnished,low,low
154,flat,sector 82a,1.59,3,3,3+,Relatively New,1799.0,,1538.0,0,0,furnished,high,medium
155,flat,sector 88a,1.65,3,3,3,New Property,1825.0,,,0,0,unfurnished,medium,high
156,flat,sector 81,2.28,3,3,3+,Relatively New,2103.0,1750.0,1257.0,0,1,furnished,low,high
157,flat,sector 90,1.6,4,4,3+,Relatively New,2364.0,,,0,1,unfurnished,medium,medium
158,flat,sector 90,1.21,3,3,3+,Relatively New,1747.0,,,0,0,unfurnished,medium,high
159,flat,sector 90,1.25,3,3,3,Moderately Old,1702.0,,1200.0,0,1,unfurnished,medium,high
160,flat,sector 2,0.98,2,2,3,Moderately Old,1415.0,,,0,0,unfurnished,medium,high
161,flat,sector 108,0.93,2,3,3,Relatively New,1283.0,,,0,0,unfurnished,medium,medium
162,flat,sector 61,2.24,3,3,2,New Property,1549.0,,,0,0,unfurnished,medium,low
163,flat,sector 56,1.55,3,3,3,Old Property,2000.0,,,0,1,semi_furnished,medium,medium
164,flat,sector 79,0.78,2,2,3+,Relatively New,1295.0,,,0,0,unfurnished,low,high
165,flat,sector 113,1.93,3,3,2,Under Construction,1579.0,,,0,0,unfurnished,medium,medium
166,flat,sector 104,2.6,4,4,3+,Relatively New,3150.0,,2950.0,0,1,semi_furnished,medium,high
167,house,sector 112,7.46,4,4,3+,Relatively New,,6350.0,,0,1,semi_furnished,medium,low
168,flat,sector 22,4.8,4,6,3+,New Property,,,2500.0,0,1,furnished,low,medium
